Index,Address,Name,Date,Transactions
1,0xaee84a39f15b570d59917c0dcf8c230d036a3a6a,Aside0x01,22/05/2024,6
2,0x177d2674a047a573a22df34055dbfe61ed09e55a,Aside0x01,23/05/2024,25
3,0xa254d4babddc2f38911727e928d1f2047fa8d269,Aside0x05,27/10/2024,55
4,0xad84d3951cf1dcdc7e4a8c2964bf279cff8cf338,Aside0x01,20/05/2024,2
5,0x0d723edb5c572d913e288750b7ca5ac14549da14,Aside0x04,14/09/2024,34
6,0xeb40e25af8f5f22bb201f53971480bea0094cd65,TermsOfServiceAllowList,27/09/2023,43
7,0x3503b2a4692f62dd2c5d4c0a6546fb50ba579acf,FunctionsCoordinator,22/11/2023,3
8,0xb26fdff7bdfcbcace0b6e0a8ceedcd0a72fc2ac5,FunctionsClientUpgradeHelper,29/11/2023,6
9,0x6b12a8f73522dfc634f95ebc4cf819942e0942b4,FunctionsCoordinator,05/02/2024,193
10,0x65dcc24f8ff9e51f10dcc7ed1e4e2a61e6e14bd6,FunctionsRouter,08/03/2024,220
11,0x8b51538396e5f79b3607720c63e7bc6dee1495b3,FunctionsCoordinator,27/09/2023,1523
12,0x51374e732423821ca467147dcf6bd90ebee926e5,TermsOfServiceAllowList,08/08/2024,67
13,0xf81f321e285a39d3a98d6e7179d24e4c89dc409d,AutomatedFunctionsConsumer,27/09/2023,1
14,0xb40b94cd4a9094df607099ff8216adb792733362,AutomatedFunctionsConsumer,27/09/2023,5
15,0xdb2b72ba02ab6749d46156cc0245948962e48a67,FunctionsConsumer,28/09/2023,5
16,0x2557392efb550ddee9b8799ea478e624e964d49b,FunctionsCoordinator,17/07/2024,839
17,0xa22bac555aab80dab8e30d000c881acc673ad7f5,TransactionDataProviderFunction,30/06/2024,6
18,0x2400655aa61857ced8c5cdd2a4f5512d3dd4f42d,VerificationProviderFunction,30/06/2024,4
19,0x2f86ce16007fd35c9a66f06a6fecbd03e0dc124e,TransactionDataProviderFunction,10/07/2024,6
20,0x2f18eeae58f0acf1223e903ef79dcce6dab4ffd4,VerificationProviderFunction,10/07/2024,4
21,0x5457cbf2e7a6f402d862c560046acd114627f87a,DestraLLMTrainingVerifier,06/09/2024,2
22,0xb28bd1b5c16daa429ed98f04883d1a07c29f6981,VerificationProviderFunction,13/09/2024,7
23,0xf7c418c340e6f400132e548ee431f7c3a29d973e,TransactionDataProviderFunction,13/09/2024,1
24,0x688855019d97c1bbf4388db0c6a8bc30f1ed57c6,FundingRateConsumer,13/02/2025,
25,0x105f7f110ed2293b3d34fc8871204d20a631d717,NAVConsumer,01/04/2025,90
26,0x7f18813cdbac049b226962b130f0eece72211a6d,WhiteRockStockFeed,02/04/2025,21
27,0x4974168ad1407c657e8e0b830b1d80d929f11cc3,WhiteRockStockFeed,02/04/2025,52
28,0xc25511fab4586fe1bae2d1513f4eb87b643686b6,LVLidoVault,07/04/2025,7
29,0xacac9edcc961a6f35244a8ab11bfb244ddbfcfb8,LVLidoVault,07/04/2025,1
30,0xe7b003416ad577354fb76d571c0573629a5cd750,LVLidoVault,07/04/2025,16
31,0x085acc305eda53a8a98f67661151fc7ea7ed94a0,LVLidoVault,21/04/2025,15
32,0x9e1ef513a1f81c8bd0e5d4d910baf982944008d9,AurkTokenConsumer,28/04/2025,9
33,0xb60beb781d8ec5d586a66dede79eabfbaa615c6c,FunctionsConsumer,15/05/2025,2
34,0x4ca85f21a9bc9cab25e63add45c43bdcfe68e248,FunctionsConsumer,16/05/2025,2
35,0xa462600c85609cb13f731d09372b8900a7bfdbe1,FunctionsConsumer,16/05/2025,3
36,0xcecd07b68e1d737079257ada9aa287ada895dcc3,FunctionsConsumer,16/05/2025,2
37,0x27638091602bfcefd479113ea2f38079f5d7280d,FunctionsConsumer,16/05/2025,2
38,0x97991fa8e708b5061fd83238f8e62e72174ae5f9,FunctionsConsumer,16/05/2025,2
39,0xcc06557aadc9543883c362a67eefd540b6827439,FunctionsConsumer,16/05/2025,8
40,0x84d4eaeb10f9e57b67622f667c6c13e22fa4b2b6,NAVConsumer,26/05/2025,37
41,0xa43a74d9da2bd997c32b23e4da8648d027279675,FunctionsConsumer,20/06/2025,2
42,0x6a10a68e40b37a45c5314546a7941b6cd69bea5e,ChainlinkFunctionsBeaconV1,05/11/2024,5
43,0xc1db7c8400db5a63ae2fd18cd679903e82e33a7d,CrossChainIndexFactoryStorage,13/02/2025,1
44,0xfe501505da469ff0134d9e3d9da27674a92c3234,CrossChainIndexFactory,13/02/2025,1
45,0x53f8e080cd43127fe5d39b27c9e18e611556e734,CrossChainIndexFactoryStorage,28/03/2025,1
46,0xbe2131823073f4ca70610f5960d1235b14cd7e7e,CrossChainIndexFactory,28/03/2025,1
47,0xdfdbd52d49f6e5c5f6b1ca994a5df181079bda82,CrossChainFeeReceiver,17/04/2025,1
48,0x08a0f5cc6ce2876ac8fd4667f9a4b49010421e47,ExchangeBalanceUpdater,30/04/2025,14
49,0xdb09a48345cd17d8edf53fc59551ff47e1a5beeb,FunctionsConsumer,14/05/2025,1
50,0xd11b3f35e879dd468746cd8764f749ce911634e5,SwapperRouter,03/05/2025,
51,0x399cf79a87cf89f4834623938ac63c0eb66b1b64,LVLidoVaultUtil,07/04/2025,1
52,0x969728d6a0305182aa2d093d5d26df1b09af7fd1,LVLidoVaultUtil,07/04/2025,1
53,0x2921c8e08a5119990139315abcfa1ae39659c747,LVLidoVaultUtil,21/04/2025,1
