Index,Address,Name,Date,Transactions,是否oracle,检查结果
60,0x67c15923248baf96fb3944a2a326a237b4c21030,CustomRedStoneOracleAdapter,30/01/2025,3287,87行调用getOracleNumericValuesAndTimestampFromTxMsg,
15,0x9a90445b8e05293368f66cf1f7874e3f24d2a392,PriceFeedsAdapterSwellWithRoundsV4,21/11/2023,4,,
17,0x0c2c7ded01ccdfab16f04aff82af766b23d6be0a,MergedAdapterWithRoundsWeethV1,07/12/2023,3,,
44,0xf9e97dea52d98c80042644497e6370f9b444cc60,RedStonePriceOracle,30/05/2024,3,,
3,0x9a65e1853381199ca04593ee5c396291e489b811,RedStonePullOracle,28/05/2025,2,,
6,0x63124550b5de4dddb12d20a530658c096bedd12b,PriceFeedsAdapterSwellWithRounds,24/08/2023,2,,
16,0x2a9e09ede0e569223f05737f846b51591a04e5cf,PriceFeedsAdapterStaderEthxWithRoundsV2,06/12/2023,2,,
22,0xbf7d92afdf01c8370e0b164338fdef105a7c8dbb,MergedAdapterWithoutRoundsOsethethV2,12/01/2024,2,,
32,0x564d81b839573761b38ceeb4c0142d1222c588b5,PriceFeedsAdapterAngleEthV2,13/03/2024,2,,
50,0x293af9ca6c6f4b1ec799328d1759ef213a5e57a3,PriceFeedsAdapterSwellWithRoundsV5,06/08/2024,2,,
91,0x46a2b84901410a81c6421104a12d6555ca286021,EthereumMultiFeedAdapterWithoutRoundsV2,05/02/2025,2,,
1,0xa664ed382e1076613c5b8be721b5cdb3643b1f20,RedstoneCoreOracle,27/08/2024,1,,
2,0x1e10d23ec871dd8bfe9740e193c714f8b2ffcfe5,RedstoneCoreOracle,01/09/2024,1,,
4,0xa2db01bbfe8e1eed8c0ac4c92d0bb76c5fee9d0f,PriceFeedsAdapterSwell,12/06/2023,1,,
5,0x300ae26a5169df07139f99c5f8c23445de1abe8a,PriceFeedsAdapterAngleEth,12/07/2023,1,,
7,0x7b36aac85d5dbb297b3595e10d7a0382ed2df202,PriceFeedSwellWithRoundsSweth,24/08/2023,1,,
